YEAR,  JAN,   FEB,   MAR,   APR,   MAY,   JUN,   JUL,   AUG,   SEP,   OCT,   NOV,   DEC

1992,19813, 20069, 20057, 20192, 20228, 20128, 20154, 20523, 20583, 20792, 21114, 21645
1993,21233, 21327, 21225, 21677, 21923, 21822, 22217, 22219, 22415, 22570, 22669, 22883
1994,22562, 23049, 23601, 23284, 23180, 23626, 23484, 23816, 23950, 24216, 24265, 24443
1995,24702, 24082, 24621, 24629, 24770, 25105, 25251, 25126, 25356, 25039, 25490, 25433
1996,24914, 25570, 25489, 25938, 26232, 25985, 26059, 26414, 26585, 26869, 26623, 27046
1997,27132, 27198, 27249, 27093, 27291, 27457, 27865, 27926, 27714, 28171, 28015, 27872
1998,28296, 28692, 28679, 29102, 28993, 29063, 29103, 29200, 29477, 29614, 29996, 29948
1999,30555, 31024, 31289, 31015, 31183, 31632, 31511, 31723, 32260, 31979, 31827, 32854
2000,32160, 32459, 33198, 32701, 33293, 33436, 33504, 33737, 33974, 34172, 34405, 34396
2001,35330, 34529, 33977, 35261, 35229, 35038, 35686, 35949, 35782, 36183, 36604, 36730
2002,36718, 37008, 36939, 37355, 37127, 37333, 37028, 37022, 37058, 37755, 37420, 37536
2003,37651, 38009, 38301, 38130, 38304, 38858, 39400, 39881, 39703, 39695, 39788, 39931
2004,40305, 40500, 40940, 40581, 41084, 40603, 41065, 41166, 41561, 41889, 42033, 42647
2005,42404, 43026, 42732, 43495, 43317, 44356, 43910, 44102, 44282, 45165, 45105, 44621
2006,45505, 45678, 45515, 45970, 45664, 45857, 45750, 46003, 46465, 46539, 46716, 47197
2007,47824, 47248, 48024, 47540, 47821, 47777, 48260, 48589, 48260, 48312, 48856, 49127
2008,48796, 48795, 48786, 49393, 50181, 50745, 50491, 49862, 49349, 49140, 49497, 48776
2009,49136, 49132, 48722, 48733, 48916, 48691, 48734, 48976, 48959, 49546, 49115, 49579
2010,49771, 50355, 50094, 50264, 49799, 49902, 49824, 50085, 50146, 50163, 51213, 50895
2011,50726, 51301, 51474, 51833, 51627, 52347, 51992, 51984, 52422, 52278, 52496, 52334
2012,52999, 53714, 53550, 53107, 53078, 53021, 53147, 53445, 53328, 53529, 53461, 53596
2013,54074, 54436, 54028, 54226, 54395, 54422, 54513, 54349, 54790, 54771, 54649, 54559
2014,54546, 55278, 55364, 55871, 55826, 55902, 55993, 56148, 56141, 56244, 56279, 56228
2015,56552, 56147, 56365, 56222, 56637, 56560, 56926, 56864, 56801, 56624, 56727, 57069
2016,56360, 57117, 56884, 56952, 56600, 57016, 56756, 56701, 56116, 56647, 56488, 56249
2017,57887, 57141, 57406, 57431, 56327, 57723, 57399, 57461, 58242, 57841, 57819, 58118
2018,58362, 58548, 58257, 57257, 59161, 58154, 58409, 58682, 58557, 58847, 60150, 60450
2019,58583, 58544, 59302, 59110, 59100, 59281, 60016, 59690, 59258, 59602, 60371, 61028
2020,60010, 60606, 62265, 55848, 60729, 61339, 61224, 59991, 61576, 61057, 60752, 60844
2021,64518, 61624, 66423, 66804, 66266, 66169, 66235, 66649, 66849, 67725, 67806, 67968
2022,68025, 69107, 69665, 70933, 71625, 72976, 71928, 72571, 73133, 73137, 73436, 72843
2023,73792, 73923, 71547, 72852, 72927, 73449, 73694, 74113, 73862, 73829, 73961, 74434
2024,73990, 74640, 74653, 74834, 75101, 74990, 75666, 75258, 75958, 75989, 75977, 76450
2025,76950, 76750, 76761, 76775, 76698, 76798, 77002, 77106, 77148, 77536,,

