Year,Inflation Rate,Federal Funds Rate,Business Cycle,Events Affecting Inflation
2005,3.40,4.25,Expansion (3.5),Hurricane Katrina; Bankruptcy Act
2006,2.50,5.25,Expansion (2.8),
2007,4.10,4.25,December peak (2.0),Bank crisis
2008,0.10,0.25,Expansion (0.1),Financial crisis
2009,2.70,0.25,June trough (-2.6),American Recovery and Reinvestment Act
2010,1.50,0.25,Expansion (2.7),Affordable Care Act; Dodd-Frank Act
2011,3.00,0.25,Expansion (1.6),Debt ceiling crisis
2012,1.70,0.25,Expansion (2.3),
2013,1.50,0.25,Expansion (2.1),Government shutdown sequestration
2014,0.80,0.25,Expansion (2.5),Quantitative easing ends
2015,0.70,0.50,Expansion (2.9),Deflation in oil and gas prices
2016,2.10,0.75,Expansion (1.8),
2017,2.10,1.50,Expansion (2.5),
2018,1.90,2.50,Expansion (3.0),
2019,2.30,1.75,Expansion (2.5),
2020,1.40,0.25,Contraction (-2.2),COVID-19 pandemic
2021,7.00,0.25,Expansion (5.8),COVID-19 pandemic
2022,6.50,4.50,Expansion (1.9),Russia invades Ukraine
2023,3.40,5.50,Expansion (2.5),Fed raised rates
2024,2.9,4.48,Expansion (2.8),
2025, 2.7
