YEAR,  JAN, FEB, MAR, APR, MAY, JUN, JUL, AUG, SEP, OCT, NOV, DEC

1992,159177, 159189, 158647, 159921, 160471, 161205, 162855, 162412, 164361, 166063, 166124, 167691
1993,169500, 168840, 167682, 172102, 172960, 173018, 175822, 175233, 176608, 177588, 179758, 181077
1994,179615, 183101, 186721, 186423, 185616, 187800, 188062, 190771, 192585, 193914, 194425, 194939
1995,195908, 193068, 195179, 195310, 198060, 200383, 199110, 201078, 201337, 200597, 203545, 204032
1996,203793, 206875, 207650, 209294, 211157, 209474, 210827, 210846, 213233, 215526, 215167, 215690
1997,218124, 219587, 221189, 217925, 217771, 220233, 222985, 223120, 224509, 224300, 223718, 225236
1998,225954, 225746, 226889, 230409, 230995, 233207, 231551, 229792, 232308, 236174, 237592, 240140
1999,240269, 243346, 244687, 246628, 248367, 249329, 251263, 253844, 255029, 254816, 258133, 263311
2000,261545, 265686, 269019, 264067, 265992, 267750, 265683, 266885, 270523, 270339, 268850, 268338
2001,272881, 272627, 269820, 274410, 275769, 274474, 273098, 275659, 268652, 288632, 280033, 276302
2002,277135, 278869, 278079, 281147, 278966, 280426, 284161, 285884, 281064, 282940, 283408, 286646
2003,288657, 284696, 288177, 289053, 289619, 293671, 296207, 299592, 298921, 298205, 299433, 300702
2004,301993, 303915, 309471, 307358, 311088, 309127, 311681, 311192, 317446, 318476, 320520, 324672
2005,321272, 325308, 326179, 329124, 327233, 337219, 339529, 335605, 336600, 336753, 339719, 339895
2006,349664, 347021, 348357, 350072, 348889, 350795, 351916, 353285, 351240, 351035, 352116, 356367
2007,355792, 356545, 359415, 358562, 363085, 360234, 361770, 363676, 365178, 367322, 370776, 366569
2008,367368, 364126, 365164, 364816, 368255, 368926, 367594, 364611, 358991, 346137, 332498, 324767
2009,329787, 328376, 322634, 324323, 327011, 332227, 333670, 339586, 330998, 334595, 337321, 338736
2010,339093, 339580, 346974, 349869, 346858, 346516, 347612, 349188, 352179, 356215, 359450, 361979
2011,364394, 367475, 370775, 372820, 372505, 375587, 375442, 375860, 380042, 382207, 383422, 383985
2012,387531, 392310, 393698, 392073, 391376, 387901, 389686, 394524, 397681, 397494, 399708, 401093
2013,404434, 409118, 406223, 404231, 406677, 407921, 410268, 409691, 410044, 411399, 412561, 414812
2014,411561, 416736, 421230, 425546, 426253, 427305, 428079, 431379, 430189, 431903, 433113, 430110
2015,428208, 427119, 433647, 434470, 437865, 437951, 441942, 441849, 439867, 438693, 440303, 442149
2016,439466, 443117, 441856, 444254, 445490, 450237, 449789, 449946, 453056, 453847, 453892, 459305
2017,464412, 464284, 463674, 465276, 462754, 465130, 465089, 466020, 475724, 476107, 480949, 483586
2018,481414, 484031, 484110, 484154, 491960, 490228, 493142, 493445, 491507, 496416, 498854, 489113
2019,490440, 491751, 499292, 499343, 504741, 505251, 509091, 512561, 509282, 510648, 514215, 515866
2020,515119, 515330, 468324, 401028, 478449, 518038, 526304, 530735, 541302, 539114, 533941, 538548
2021,559230, 544891, 603581, 608961, 605282, 611950, 601817, 605533, 609671, 618573, 624874, 619938
2022,631509, 638101, 651027, 660194, 659847, 666113, 659550, 663566, 661854, 668671, 659458, 651763
2023,680253, 672152, 665071, 670494, 673902, 677117, 678424, 684755, 689403, 686148, 685328, 686277
2024,680456, 685280, 687641, 687602, 692774, 692449, 698835, 697039, 703055, 708070, 712145, 717662
2025,711461, 711757, 722572, 721789, 716101, 723033, 727727, 731700, 732444, 732633
