YEAR, JAN,  FEB,  MAR,  APR,  MAY,  JUN,  JUL,  AUG,  SEP,  OCT,  NOV,  DEC

1992,0.896,0.894,0.977,0.991,1.026,1.015,1.012,1.017,0.974,1.014,1.002,1.209
1993,0.883,0.862,0.989,0.994,1.020,1.018,1.013,1.017,0.976,0.999,1.015,1.211
1994,0.877,0.863,1.002,0.985,1.020,1.021,0.999,1.030,0.980,0.992,1.017,1.205
1995,0.876,0.866,1.001,0.976,1.034,1.027,0.993,1.037,0.977,0.991,1.018,1.181
1996,0.887,0.904,0.992,0.982,1.045,1.010,1.005,1.043,0.958,1.006,1.012,1.173
1997,0.895,0.875,0.986,0.986,1.047,1.008,1.011,1.028,0.968,1.008,0.993,1.180
1998,0.897,0.880,0.986,0.991,1.035,1.020,1.016,1.021,0.969,1.005,0.988,1.180
1999,0.886,0.884,1.005,0.991,1.029,1.023,1.017,1.021,0.970,0.989,0.999,1.180
2000,0.883,0.918,1.009,0.980,1.042,1.028,0.998,1.041,0.970,0.978,1.004,1.159
2001,0.895,0.886,1.011,0.978,1.048,1.024,1.000,1.047,0.953,0.988,1.007,1.147
2002,0.902,0.886,1.000,0.989,1.052,1.007,1.015,1.049,0.950,0.991,0.997,1.151
2003,0.907,0.885,0.994,0.994,1.053,1.003,1.024,1.034,0.960,0.994,0.980,1.162
2004,0.908,0.906,1.008,1.001,1.033,1.017,1.030,1.027,0.964,0.979,0.989,1.168
2005,0.890,0.885,1.016,0.998,1.035,1.020,1.015,1.037,0.968,0.971,0.992,1.167
2006,0.892,0.886,1.020,0.982,1.049,1.025,1.008,1.039,0.965,0.970,0.996,1.148
2007,0.905,0.888,1.023,0.977,1.055,1.023,1.006,1.040,0.948,0.981,1.002,1.139
2008,0.912,0.927,1.004,0.992,1.059,1.003,1.021,1.023,0.955,0.990,0.982,1.155
2009,0.919,0.893,1.005,0.996,1.042,1.013,1.022,1.014,0.958,0.990,0.982,1.157
2010,0.907,0.896,1.026,0.995,1.034,1.014,1.020,1.013,0.961,0.977,0.997,1.157
2011,0.900,0.897,1.028,1.000,1.032,1.014,1.003,1.026,0.966,0.972,1.003,1.154
2012,0.898,0.931,1.034,0.981,1.049,1.014,0.996,1.038,0.950,0.985,1.013,1.125
2013,0.911,0.896,1.019,0.993,1.055,0.998,1.009,1.040,0.949,0.991,1.006,1.130
2014,0.912,0.894,1.009,0.996,1.056,0.995,1.016,1.025,0.962,0.997,0.994,1.141
2015,0.911,0.891,1.010,0.993,1.042,1.007,1.022,1.018,0.965,0.999,0.994,1.145
2016,0.898,0.918,1.022,0.997,1.035,1.013,1.010,1.029,0.971,0.981,1.013,1.146
2017,0.892,0.885,1.024,0.983,1.049,1.017,1.005,1.033,0.969,0.982,1.018,1.125
2018,0.904,0.883,1.032,0.973,1.055,1.015,1.004,1.036,0.954,0.997,1.024,1.112
2019,0.910,0.881,1.009,0.996,1.060,1.000,1.016,1.036,0.949,1.006,1.015,1.112
2020,0.915,0.913,1.002,1.004,1.045,1.009,1.025,1.014,0.963,1.013,0.997,1.123
2021,0.903,0.880,1.020,1.004,1.039,1.013,1.025,1.013,0.966,1.001,1.009,1.122
2022,0.898,0.882,1.019,1.009,1.038,1.015,1.010,1.025,0.972,0.997,1.013,1.118
2023,0.898,0.882,1.023,0.992,1.050,1.018,1.004,1.029,0.972,0.998,1.016,1.100
2024,0.909,0.917,1.011,0.999,1.055,0.997,1.018,1.033,0.955,1.015,1.014,1.098
2025,0.917,0.882,1.006,1.002,1.054,0.991,1.024,1.020,0.967,1.019,0.999,1.111
2026,0.918,0.883,1.009,0.999,1.038,1.002,1.030,1.013,0.971,1.019,0.998,1.115
2027,0.905,0.882,1.019,1.006,1.030,1.004,1.030,1.013,0.973,1.005
